Lambda	        A	     B	     C	    D	     E	      F	      G	     H	      I	      J
3477.52775	0.54649	0.9173	2.00909	1.03474	4.30109	0.82564	3.81839	6.10185	2.41248	0.24843
3475.599	0.5415	0.90456	1.98031	1.01797	4.26266	0.81684	3.76576	6.02115	2.37947	0.24852
3473.67026	0.53609	0.89399	1.94147	1.00147	4.2186	0.7994	3.71163	5.94806	2.35171	0.24199
3471.74151	0.53153	0.89499	1.93017	0.99713	4.2147	0.79055	3.707	5.94185	2.34919	0.23447
3469.81277	0.52468	0.89293	1.93262	0.99523	4.21703	0.79068	3.71073	5.94051	2.34658	0.23453
3467.88402	0.52307	0.88409	1.9273	0.9916	4.19406	0.78931	3.68596	5.90047	2.33235	0.23651
3465.95528	0.53201	0.87957	1.92067	0.99679	4.17782	0.78506	3.6681	5.86964	2.32836	0.2396
3464.02653	0.53972	0.8739	1.91929	0.99903	4.16761	0.77853	3.65463	5.84714	2.32711	0.24857
3462.09779	0.53868	0.86852	1.92026	0.98627	4.14655	0.77199	3.63479	5.82058	2.31161	0.25884
3460.16904	0.53157	0.87182	1.9103	0.97453	4.11678	0.77255	3.62564	5.79725	2.29247	0.26688
3458.2403	0.52665	0.87601	1.88397	0.97253	4.08216	0.7765	3.61369	5.76093	2.27847	0.26904
3456.31155	0.52837	0.87532	1.86584	0.97574	4.07192	0.7793	3.60175	5.73657	2.27446	0.25903
3454.3828	0.5253	0.86514	1.86494	0.97857	4.07076	0.77849	3.58919	5.71998	2.27231	0.24427
3452.45406	0.51897	0.84943	1.87284	0.97705	4.05631	0.77476	3.57681	5.69924	2.26893	0.24332
3450.52531	0.52325	0.84196	1.88789	0.97042	4.05863	0.77357	3.58964	5.70887	2.27763	0.25486
3448.59657	0.52741	0.84025	1.8847	0.95447	4.05011	0.76648	3.58955	5.7044	2.27589	0.25774
3446.66782	0.51698	0.84082	1.85222	0.94101	4.00616	0.75271	3.54585	5.65224	2.24736	0.24869
3444.73908	0.50697	0.8436	1.82647	0.94663	3.97672	0.74535	3.50554	5.6103	2.22458	0.24246
3442.81033	0.51203	0.83936	1.81445	0.95284	3.95957	0.74056	3.47723	5.57856	2.21267	0.23944
3440.88159	0.52063	0.83463	1.80097	0.9444	3.94156	0.73802	3.45716	5.55173	2.20246	0.23279
3438.95284	0.52014	0.8405	1.79909	0.93641	3.9561	0.74615	3.47073	5.57031	2.20712	0.22235
3437.0241	0.51454	0.84244	1.80849	0.93435	3.97907	0.75381	3.49003	5.59808	2.2172	0.21229
3435.09535	0.51165	0.8303	1.80139	0.92934	3.95465	0.74602	3.47405	5.56394	2.20807	0.20706
3433.16661	0.51131	0.81682	1.78452	0.92075	3.90446	0.73093	3.4431	5.49745	2.18569	0.20645
3431.23786	0.50587	0.80971	1.78599	0.91316	3.88085	0.72189	3.42597	5.46936	2.17342	0.21193
3429.30912	0.49428	0.81006	1.79917	0.91618	3.89737	0.72399	3.43544	5.49802	2.18375	0.22341
3427.38037	0.48437	0.81373	1.79935	0.93184	3.92187	0.73503	3.45664	5.5392	2.20397	0.23214
3425.45163	0.4828	0.80943	1.78569	0.94234	3.91852	0.74295	3.45258	5.53724	2.20977	0.23666
3423.52288	0.49154	0.80107	1.77549	0.93576	3.89905	0.74119	3.4242	5.50168	2.199	0.2407
3421.59414	0.50351	0.80151	1.77104	0.92301	3.88381	0.73464	3.39803	5.47212	2.18561	0.23912
3419.66539	0.51003	0.8078	1.76981	0.92072	3.88065	0.73023	3.39392	5.46666	2.18248	0.23038
3417.73664	0.51041	0.80996	1.76974	0.92614	3.88541	0.7281	3.40314	5.46859	2.18497	0.2207
3415.8079	0.5081	0.80958	1.76664	0.92861	3.88626	0.72429	3.40795	5.46554	2.18351	0.21635
3413.87915	0.50766	0.81085	1.77162	0.92825	3.89188	0.72544	3.4175	5.48083	2.18744	0.22339
3411.95041	0.50545	0.80981	1.77581	0.9234	3.88392	0.73293	3.41157	5.48331	2.184	0.23484
3410.02166	0.49516	0.80575	1.75553	0.91427	3.8356	0.73473	3.36395	5.42455	2.15381	0.23571
3408.09292	0.48598	0.80171	1.72976	0.91012	3.78686	0.73182	3.31947	5.35501	2.12529	0.22944
3406.16417	0.48691	0.79728	1.72197	0.91502	3.77613	0.73109	3.31926	5.33186	2.12524	0.22318
3404.23543	0.49123	0.79123	1.72122	0.91862	3.78257	0.72725	3.3351	5.33364	2.14003	0.21465
3402.30668	0.489	0.78218	1.71764	0.91018	3.7807	0.71712	3.33367	5.32767	2.14683	0.20909
3400.37794	0.48037	0.7762	1.71758	0.89848	3.78455	0.70742	3.33064	5.32679	2.1453	0.21174
3398.44919	0.47507	0.77739	1.72106	0.8935	3.80044	0.70472	3.33882	5.3392	2.14446	0.21804
3396.52045	0.47439	0.77828	1.7229	0.891	3.80303	0.71072	3.33652	5.33994	2.14073	0.22489
3394.5917	0.47206	0.77821	1.72271	0.8894	3.7921	0.71723	3.31936	5.32496	2.13379	0.23086
3392.66296	0.47652	0.77974	1.72108	0.89244	3.79127	0.71571	3.31252	5.32439	2.13255	0.23508
3390.73421	0.48846	0.77711	1.7155	0.8975	3.79047	0.70878	3.31241	5.32904	2.13235	0.23968
3388.80547	0.49173	0.77226	1.70626	0.89903	3.77454	0.70321	3.29752	5.30423	2.12415	0.24289
3386.87672	0.487	0.77297	1.70141	0.89606	3.76501	0.70392	3.28219	5.27379	2.11822	0.24189
3384.94797	0.4797	0.77363	1.698	0.88912	3.76381	0.70663	3.27782	5.25951	2.11673	0.23766
3383.01923	0.46807	0.76933	1.68706	0.88077	3.74585	0.70465	3.26689	5.23544	2.10373	0.22976
3381.09048	0.45834	0.76688	1.67357	0.87478	3.71377	0.69759	3.24302	5.189	2.08065	0.22189
3379.16174	0.45495	0.76366	1.66434	0.87215	3.69144	0.68557	3.2244	5.14771	2.06585	0.22219
3377.23299	0.45447	0.75672	1.66082	0.87204	3.68668	0.67794	3.22215	5.14075	2.06684	0.22857
3375.30425	0.45493	0.75296	1.65588	0.86887	3.67096	0.67768	3.21314	5.13489	2.06768	0.23224
3373.3755	0.45758	0.75146	1.64777	0.86033	3.64325	0.67328	3.19255	5.11062	2.06005	0.23228
3371.44676	0.46277	0.7493	1.64926	0.85493	3.64461	0.66831	3.1926	5.116	2.06067	0.23194
3369.51801	0.46835	0.74869	1.65885	0.85647	3.66283	0.67069	3.20866	5.14273	2.0695	0.23177
3367.58927	0.47457	0.74829	1.65972	0.86183	3.6593	0.67678	3.20754	5.13886	2.07048	0.23216
3365.66052	0.48139	0.74759	1.64596	0.86802	3.63642	0.68413	3.18546	5.10242	2.06061	0.22903
3363.73178	0.48376	0.75121	1.63179	0.86719	3.61838	0.68978	3.16524	5.07177	2.04815	0.22109
3361.80303	0.48012	0.75625	1.62931	0.85761	3.61546	0.68674	3.15824	5.06914	2.043	0.21588
3359.87429	0.47468	0.75452	1.62863	0.85083	3.60927	0.67523	3.15259	5.0645	2.04116	0.21321
3357.94554	0.47187	0.75129	1.62872	0.85512	3.60917	0.66712	3.15683	5.06046	2.03906	0.20818
3356.0168	0.47227	0.75437	1.63997	0.86578	3.63683	0.66743	3.18097	5.08596	2.04379	0.20307
3354.08805	0.46925	0.75566	1.64155	0.86776	3.64103	0.66881	3.18062	5.07962	2.04184	0.20142
3352.1593	0.46023	0.74723	1.61572	0.85552	3.58781	0.66679	3.1343	5.00634	2.02119	0.20293
3350.23056	0.45227	0.73675	1.59102	0.84259	3.53719	0.65765	3.09009	4.94533	2.00276	0.20421
3348.30181	0.44775	0.73318	1.59086	0.83895	3.53157	0.64428	3.07989	4.94125	2.00415	0.20686
3346.37307	0.44424	0.73495	1.60561	0.84217	3.55083	0.64311	3.09494	4.96773	2.02001	0.21346
3344.44432	0.43978	0.73578	1.61267	0.84235	3.55159	0.65225	3.10191	4.97604	2.02253	0.21633
3342.51558	0.43625	0.73174	1.5989	0.83352	3.51681	0.6534	3.07698	4.93658	1.99329	0.21252
3340.58683	0.43945	0.72428	1.5814	0.82395	3.48918	0.64776	3.0508	4.89076	1.96579	0.20893
3338.65809	0.44507	0.71959	1.58032	0.82371	3.50107	0.64441	3.0525	4.88403	1.96916	0.20461
3336.72934	0.44563	0.72336	1.58948	0.83253	3.53597	0.64653	3.07217	4.91409	1.98932	0.20246
3334.8006	0.44294	0.7327	1.59593	0.84048	3.56713	0.65196	3.09342	4.96092	2.00885	0.20998
3332.87185	0.43982	0.73705	1.59476	0.83957	3.57048	0.65427	3.09612	4.98066	2.01441	0.21508
3330.94311	0.43952	0.73431	1.59041	0.83463	3.55359	0.65766	3.08313	4.96139	2.00461	0.20912
3329.01436	0.44172	0.73063	1.58939	0.83031	3.53952	0.6644	3.07422	4.9368	1.99375	0.20342
3327.08562	0.44343	0.72877	1.5886	0.82408	3.52706	0.66533	3.06347	4.91414	1.98285	0.20385
3325.15687	0.44667	0.72964	1.58573	0.81765	3.51746	0.65973	3.05281	4.89837	1.96992	0.20887
3323.22813	0.44892	0.72999	1.58309	0.81486	3.51615	0.65374	3.05828	4.90189	1.96361	0.21479
3321.29938	0.44765	0.72436	1.57856	0.81318	3.51429	0.65071	3.06777	4.90512	1.96558	0.21629
3319.37063	0.44841	0.71774	1.57214	0.80903	3.50481	0.65112	3.06123	4.88936	1.96786	0.21408
3317.44189	0.45247	0.71819	1.56858	0.80638	3.5008	0.65257	3.05057	4.87663	1.96741	0.21037
3315.51314	0.45201	0.72148	1.56409	0.81131	3.50257	0.65192	3.04615	4.87633	1.96379	0.20615
3313.5844	0.44395	0.71972	1.5505	0.81958	3.48535	0.64747	3.03168	4.85901	1.95303	0.20542
3311.65565	0.43748	0.71561	1.53532	0.82221	3.46004	0.64311	3.01448	4.83153	1.94021	0.20971
3309.72691	0.43874	0.71582	1.53359	0.81986	3.45743	0.64428	3.01997	4.83291	1.93805	0.2135
3307.79816	0.44537	0.71852	1.54678	0.81982	3.47958	0.65039	3.04582	4.8734	1.9517	0.21393
3305.86942	0.4523	0.71921	1.56278	0.82371	3.50797	0.65637	3.06733	4.92228	1.96787	0.21555
3303.94067	0.45504	0.72109	1.56861	0.82398	3.5133	0.65795	3.0623	4.93117	1.96746	0.21646
3302.01193	0.4568	0.72449	1.5619	0.81466	3.49087	0.65732	3.03709	4.89698	1.95618	0.21029
3300.08318	0.45769	0.72193	1.54829	0.80311	3.46209	0.65512	3.01023	4.85233	1.9458	0.20256
3298.15444	0.45035	0.71165	1.52903	0.80028	3.42831	0.64415	2.9817	4.80377	1.92869	0.20105
3296.22569	0.44018	0.7022	1.5093	0.80459	3.39539	0.62944	2.95752	4.75913	1.90954	0.20329
3294.29695	0.44077	0.70384	1.50659	0.80751	3.3977	0.62746	2.96114	4.75638	1.91163	0.20535
3292.3682	0.44765	0.71295	1.52206	0.80442	3.4323	0.63778	2.98879	4.79575	1.93326	0.20695
3290.43946	0.44425	0.71557	1.53437	0.7984	3.44848	0.64531	3.00166	4.8145	1.94662	0.20771
3288.51071	0.43442	0.71017	1.5391	0.7982	3.43867	0.64466	2.99104	4.79579	1.94349	0.20578
3286.58197	0.43584	0.70089	1.54114	0.80323	3.42983	0.63968	2.97918	4.77962	1.93423	0.2027
3284.65322	0.44635	0.69092	1.53353	0.8036	3.42198	0.63339	2.97175	4.77245	1.92354	0.20441
3282.72447	0.45165	0.6922	1.52478	0.80039	3.4212	0.63453	2.97612	4.77703	1.9216	0.20878
3280.79573	0.45282	0.70623	1.52905	0.80256	3.43831	0.64641	2.99672	4.80526	1.93665	0.20784
3278.86698	0.4567	0.71647	1.53783	0.80879	3.45589	0.65141	3.0138	4.83652	1.95532	0.20636
3276.93824	0.4547	0.71456	1.5377	0.81211	3.4528	0.63775	3.00971	4.83982	1.95273	0.21131
3275.00949	0.44045	0.70886	1.52632	0.81118	3.43134	0.62161	2.98604	4.80814	1.92588	0.21553
3273.08075	0.42852	0.70699	1.51446	0.80771	3.41842	0.62015	2.96447	4.77556	1.90602	0.21324
3271.152	0.4277	0.70306	1.51087	0.7989	3.41335	0.62609	2.95155	4.75377	1.90268	0.20752
3269.22326	0.42892	0.69304	1.50477	0.78495	3.38444	0.62504	2.92844	4.70855	1.89261	0.20135
3267.29451	0.43125	0.68975	1.49529	0.77906	3.36108	0.62007	2.91065	4.66897	1.8837	0.19835
3265.36577	0.43941	0.69787	1.49478	0.78639	3.38159	0.62152	2.91884	4.6812	1.88988	0.19966
3263.43702	0.44649	0.7009	1.49438	0.79084	3.40045	0.62887	2.92383	4.7053	1.89061	0.19923
3261.50828	0.44618	0.69112	1.48533	0.7817	3.37993	0.63512	2.90722	4.69865	1.87885	0.19778
3259.57953	0.44213	0.68158	1.48299	0.77102	3.35539	0.63561	2.89827	4.68612	1.87518	0.20292
3257.65079	0.43862	0.67957	1.4889	0.7699	3.34729	0.62609	2.90444	4.68292	1.88216	0.20653
3255.72204	0.43401	0.6786	1.48539	0.77153	3.3296	0.61115	2.89321	4.66078	1.87966	0.19817
3253.7933	0.42717	0.67584	1.47519	0.77107	3.30032	0.60817	2.86306	4.62146	1.86675	0.18892
3251.86455	0.42277	0.67406	1.46943	0.77347	3.28684	0.61734	2.84397	4.59711	1.86121	0.19164
3249.9358	0.42241	0.67391	1.46607	0.7762	3.29486	0.62228	2.84767	4.59738	1.86428	0.20139
3248.00706	0.42546	0.67795	1.4662	0.77575	3.31566	0.622	2.86701	4.61681	1.86773	0.20598
3246.07831	0.43043	0.68534	1.47007	0.77674	3.33518	0.62109	2.8798	4.63472	1.86743	0.20299
3244.14957	0.43083	0.68843	1.47276	0.77865	3.33826	0.61752	2.87106	4.63209	1.86601	0.19882
3242.22082	0.42768	0.68819	1.47783	0.77704	3.33582	0.61678	2.86142	4.62817	1.87345	0.19752
3240.29208	0.42819	0.68921	1.48604	0.77492	3.34151	0.62246	2.87125	4.64173	1.88597	0.19958
3238.36333	0.42972	0.68853	1.48243	0.77272	3.33798	0.62324	2.87962	4.64107	1.88427	0.19997
3236.43459	0.42937	0.68511	1.46512	0.76793	3.31797	0.61478	2.867	4.60521	1.86785	0.19621
3234.50584	0.43171	0.67867	1.45554	0.7678	3.30642	0.60922	2.85464	4.57661	1.85698	0.19493
3232.5771	0.43525	0.67159	1.45877	0.77455	3.31144	0.61005	2.85664	4.58083	1.85885	0.1959
3230.64835	0.43277	0.67346	1.46526	0.77703	3.32232	0.61133	2.86737	4.60182	1.86732	0.19347
3228.71961	0.42547	0.68208	1.47232	0.77252	3.33576	0.61222	2.88084	4.62923	1.87488	0.19028
3226.79086	0.42228	0.685	1.47624	0.77014	3.34256	0.61162	2.88295	4.64491	1.87366	0.19201
3224.86212	0.42412	0.68068	1.47522	0.77248	3.3346	0.60818	2.87029	4.63193	1.86502	0.19646
3222.93337	0.42279	0.67441	1.46634	0.77247	3.31683	0.60378	2.85369	4.6009	1.85384	0.19559
3221.00463	0.4157	0.66916	1.44858	0.76576	3.28976	0.59984	2.83448	4.56031	1.83908	0.19029
3219.07588	0.41057	0.6674	1.43824	0.75842	3.26544	0.59855	2.81937	4.52824	1.8284	0.18886
3217.14713	0.41544	0.67012	1.44406	0.75866	3.26729	0.60219	2.82296	4.53517	1.83308	0.18976
3215.21839	0.42672	0.67353	1.44865	0.76407	3.28005	0.60812	2.83186	4.55717	1.84283	0.18826
3213.28964	0.4326	0.67277	1.44016	0.76612	3.27414	0.60716	2.8237	4.54542	1.83924	0.19011
3211.3609	0.42948	0.66908	1.43234	0.76441	3.26213	0.59818	2.81107	4.51533	1.82721	0.19714
3209.43215	0.42543	0.66512	1.43412	0.76349	3.25882	0.59309	2.80759	4.5045	1.82186	0.19877
3207.50341	0.42512	0.66222	1.43442	0.76241	3.25278	0.59501	2.80233	4.50675	1.82325	0.19149
3205.57466	0.4232	0.66404	1.43155	0.75973	3.2488	0.59761	2.79759	4.51209	1.82648	0.1852
3203.64592	0.42009	0.66916	1.43689	0.75743	3.26381	0.59899	2.80887	4.53101	1.83523	0.18445
3201.71717	0.42417	0.67076	1.44397	0.75773	3.28383	0.60042	2.82648	4.55054	1.84442	0.18464
3199.78843	0.4328	0.66895	1.43753	0.76121	3.2847	0.60306	2.83022	4.54796	1.83945	0.18478
3197.85968	0.43577	0.6691	1.42778	0.76472	3.27753	0.60381	2.82493	4.53563	1.82562	0.18712
3195.93094	0.42983	0.67136	1.42642	0.7653	3.27816	0.59992	2.81685	4.52553	1.81888	0.18815
3194.00219	0.41761	0.6737	1.4219	0.7613	3.26902	0.59579	2.7949	4.50337	1.81883	0.18331
3192.07345	0.40879	0.67438	1.41488	0.75348	3.25108	0.59721	2.77116	4.4831	1.81981	0.17834
3190.1447	0.41299	0.67063	1.4156	0.74867	3.24961	0.60391	2.76855	4.48684	1.81826	0.18122
3188.21596	0.42306	0.66506	1.41504	0.74862	3.24777	0.6058	2.77103	4.48397	1.81078	0.18708
3186.28721	0.42554	0.6628	1.40824	0.74675	3.22608	0.59798	2.76334	4.46354	1.80593	0.18823
3184.35846	0.41941	0.66354	1.40686	0.74313	3.2126	0.59244	2.7635	4.46132	1.80988	0.18768
3182.42972	0.41198	0.66449	1.41177	0.74269	3.21808	0.5958	2.7715	4.46737	1.80921	0.18932
3180.50097	0.40987	0.66315	1.41075	0.74322	3.21479	0.59957	2.76675	4.44713	1.79439	0.19114
3178.57223	0.41343	0.66205	1.40424	0.74257	3.20151	0.59951	2.75672	4.42435	1.77858	0.18921
3176.64348	0.41778	0.66446	1.40312	0.74491	3.2044	0.59895	2.76154	4.43569	1.77905	0.18393
3174.71474	0.41867	0.66411	1.40676	0.74973	3.21669	0.59921	2.76864	4.45569	1.79061	0.18173
3172.78599	0.41641	0.66082	1.40842	0.75014	3.22003	0.59912	2.76134	4.45505	1.79535	0.18416
3170.85725	0.41516	0.66414	1.41049	0.747	3.22489	0.59649	2.75481	4.45407	1.7927	0.18486
3168.9285	0.41543	0.66716	1.41502	0.7481	3.2333	0.59196	2.75935	4.46176	1.79433	0.18165
3166.99976	0.41471	0.6573	1.41164	0.74924	3.22553	0.58823	2.75776	4.45046	1.79786	0.17909
3165.07101	0.41497	0.64469	1.4017	0.74407	3.20418	0.58605	2.74591	4.42215	1.79372	0.17953
3163.14227	0.41857	0.64391	1.40667	0.74317	3.20377	0.58749	2.7475	4.42518	1.79115	0.18141
3161.21352	0.42189	0.65124	1.42724	0.74986	3.23298	0.59376	2.76831	4.46665	1.80113	0.18546
3159.28478	0.42111	0.65547	1.43978	0.7507	3.25696	0.59992	2.78541	4.49797	1.81388	0.19151
3157.35603	0.41662	0.65548	1.43059	0.7422	3.25256	0.59877	2.78062	4.49169	1.81488	0.1955
3155.42729	0.41169	0.65595	1.40663	0.73483	3.2278	0.59175	2.75759	4.46	1.80154	0.19426
3153.49854	0.41158	0.65464	1.39061	0.73461	3.20686	0.58799	2.7407	4.43533	1.78798	0.18898
3151.5698	0.4156	0.65176	1.39517	0.73853	3.20638	0.59068	2.7451	4.43462	1.78742	0.18725
3149.64105	0.4161	0.65177	1.40183	0.74141	3.20952	0.59473	2.75201	4.43387	1.79131	0.19113
3147.7123	0.41066	0.65271	1.396	0.74022	3.20177	0.59325	2.74582	4.42179	1.79023	0.19219
3145.78356	0.40298	0.65391	1.39013	0.73834	3.19797	0.58519	2.74075	4.42113	1.78745	0.18968
3143.85481	0.39729	0.65681	1.39123	0.73981	3.20101	0.57807	2.74192	4.42762	1.78428	0.18866
3141.92607	0.39699	0.65814	1.39236	0.74127	3.1975	0.57773	2.7366	4.4182	1.78236	0.18786
3139.99732	0.40107	0.65835	1.39105	0.74106	3.19129	0.58205	2.72769	4.40294	1.78488	0.18598
3138.06858	0.40636	0.66064	1.39	0.74105	3.19289	0.58552	2.72463	4.39786	1.78647	0.18576
3136.13983	0.41076	0.66178	1.39294	0.74079	3.19799	0.58378	2.72547	4.39681	1.78229	0.18885
3134.21109	0.41228	0.66	1.40049	0.7395	3.20093	0.58075	2.7294	4.39805	1.78012	0.19268
3132.28234	0.41254	0.65836	1.40303	0.73628	3.20333	0.58393	2.73626	4.40961	1.78567	0.19338
3130.3536	0.41508	0.65547	1.39262	0.73192	3.20169	0.5883	2.7369	4.41968	1.79083	0.19111
3128.42485	0.41814	0.65053	1.37963	0.72967	3.19191	0.58879	2.72764	4.40944	1.78944	0.19013
3126.49611	0.41583	0.64758	1.37581	0.72865	3.181	0.59204	2.718	4.38835	1.7837	0.19117
3124.56736	0.40808	0.64713	1.37939	0.72555	3.18008	0.59737	2.71468	4.37748	1.77761	0.18958
3122.63862	0.40394	0.64725	1.38561	0.72389	3.19082	0.59848	2.71779	4.38522	1.777	0.18471
3120.70987	0.40713	0.6481	1.39081	0.72852	3.20056	0.59719	2.72474	4.40227	1.78331	0.18084
3118.78113	0.41087	0.64733	1.38929	0.73504	3.19569	0.59383	2.72479	4.40401	1.78703	0.17866
3116.85238	0.41168	0.64381	1.37917	0.73666	3.179	0.5861	2.70802	4.37994	1.77959	0.17714
3114.92363	0.41242	0.64474	1.37155	0.73447	3.16852	0.57884	2.6894	4.35738	1.76988	0.17743
3112.99489	0.41291	0.65011	1.37753	0.73485	3.17613	0.57789	2.69194	4.36328	1.76999	0.17804
3111.06614	0.41028	0.64962	1.38739	0.73547	3.18765	0.58129	2.70516	4.37772	1.77319	0.17648
3109.1374	0.4063	0.64495	1.38712	0.72681	3.18288	0.58302	2.7065	4.375	1.76892	0.17566
3107.20865	0.40397	0.64519	1.38368	0.71647	3.17217	0.58282	2.70359	4.36971	1.76248	0.178
3105.27991	0.40562	0.64663	1.38322	0.71834	3.16833	0.58542	2.70382	4.36555	1.76039	0.18023
3103.35116	0.41089	0.64249	1.37659	0.72443	3.15782	0.58842	2.69174	4.34215	1.75694	0.1799
3101.42242	0.41303	0.63817	1.36894	0.72584	3.14561	0.58623	2.67328	4.31726	1.75107	0.17756
3099.49367	0.41147	0.6411	1.37124	0.72829	3.15217	0.58238	2.6714	4.32126	1.75255	0.17532
3097.56493	0.41169	0.6477	1.37763	0.73221	3.17161	0.5832	2.68619	4.34475	1.76303	0.17667
3095.63618	0.41311	0.64924	1.38357	0.73262	3.18713	0.58746	2.702	4.3651	1.77182	0.17967
3093.70744	0.41372	0.64521	1.3856	0.72872	3.18239	0.58775	2.70025	4.36196	1.76977	0.18002
3091.77869	0.41467	0.64373	1.38	0.72345	3.16215	0.58347	2.68504	4.34063	1.76509	0.18183
3089.84995	0.41649	0.64849	1.37633	0.72456	3.16075	0.5829	2.6832	4.34095	1.77314	0.18794
3087.9212	0.41845	0.65358	1.38085	0.73247	3.18059	0.58629	2.69303	4.36324	1.78657	0.19071
3085.99246	0.41872	0.65353	1.38408	0.73368	3.18884	0.58626	2.69322	4.3688	1.78786	0.18774
3084.06371	0.41512	0.65373	1.38025	0.72665	3.188	0.58229	2.69196	4.36345	1.78233	0.18563
3082.13496	0.41092	0.65611	1.37246	0.72327	3.19176	0.57764	2.6985	4.36336	1.77617	0.18319
3080.20622	0.40907	0.6513	1.36313	0.7239	3.18469	0.57144	2.697	4.34986	1.76345	0.18028
3078.27747	0.40723	0.6432	1.35969	0.72615	3.17736	0.56487	2.69365	4.3381	1.75626	0.18289
3076.34873	0.40875	0.64458	1.36589	0.73075	3.18961	0.56491	2.70194	4.35456	1.76528	0.18702
3074.41998	0.41517	0.65047	1.37447	0.73255	3.20125	0.57365	2.70789	4.37084	1.77619	0.18744
3072.49124	0.41762	0.6488	1.37919	0.72999	3.19764	0.58215	2.70552	4.36298	1.77893	0.18475
3070.56249	0.41338	0.64043	1.37506	0.72648	3.18762	0.58243	2.69785	4.34455	1.77689	0.18019
3068.63375	0.40925	0.63488	1.36231	0.72306	3.18002	0.57849	2.68495	4.33228	1.77217	0.17803
3066.705	0.40775	0.63633	1.35219	0.72	3.17916	0.57704	2.67645	4.33227	1.76613	0.17926
3064.77626	0.40689	0.63985	1.3523	0.71716	3.18041	0.57779	2.67714	4.33359	1.76175	0.17887
3062.84751	0.407	0.6413	1.35675	0.71507	3.17759	0.57747	2.67818	4.32441	1.75721	0.17627
3060.91877	0.40802	0.64087	1.36056	0.71439	3.17495	0.57264	2.67652	4.31305	1.75264	0.17795
3058.99002	0.41046	0.63954	1.36655	0.71412	3.18039	0.56787	2.68075	4.31592	1.75587	0.1844
3057.06128	0.41517	0.64194	1.37273	0.7178	3.19232	0.57343	2.69156	4.33606	1.76535	0.18943
3055.13253	0.41764	0.64989	1.37244	0.72591	3.19775	0.5831	2.69537	4.35135	1.77104	0.19274
3053.20379	0.41478	0.65786	1.3684	0.72783	3.19275	0.58378	2.68714	4.34575	1.77279	0.19372
3051.27504	0.41094	0.66263	1.36919	0.72462	3.19683	0.58058	2.68402	4.34514	1.77851	0.18932
3049.3463	0.40946	0.66194	1.37227	0.72605	3.21251	0.58326	2.69139	4.36129	1.7845	0.18336
3047.41755	0.40694	0.6548	1.36792	0.72632	3.20708	0.5878	2.68768	4.35639	1.77469	0.18024
3045.4888	0.40093	0.64595	1.35578	0.72004	3.17303	0.58457	2.66684	4.31722	1.75107	0.179
3043.56006	0.39603	0.6395	1.3465	0.71435	3.14428	0.57582	2.64706	4.28174	1.73711	0.17958
3041.63131	0.39452	0.63623	1.34757	0.71185	3.14047	0.57117	2.63983	4.27271	1.74246	0.18177
3039.70257	0.39498	0.63386	1.35151	0.70917	3.14858	0.57247	2.64055	4.27257	1.75095	0.18241
3037.77382	0.40058	0.63207	1.35198	0.70745	3.15521	0.57606	2.64467	4.27171	1.75237	0.18198
3035.84508	0.41183	0.63405	1.35245	0.71023	3.15991	0.5779	2.65097	4.28012	1.75355	0.1803
3033.91633	0.42059	0.63832	1.35152	0.71564	3.1627	0.57624	2.64964	4.29122	1.75379	0.17553
3031.98759	0.4221	0.64109	1.34884	0.71936	3.16849	0.57468	2.64297	4.30068	1.75292	0.17273
3030.05884	0.42049	0.64316	1.34966	0.72207	3.18272	0.57597	2.64778	4.31823	1.75752	0.17406
3028.1301	0.42116	0.646	1.3557	0.72651	3.19968	0.5793	2.66478	4.34023	1.7631	0.17399
3026.20135	0.42426	0.64809	1.36233	0.72985	3.20915	0.58128	2.68041	4.35195	1.76285	0.17196
3024.27261	0.42546	0.65078	1.36302	0.72916	3.21059	0.57828	2.68902	4.34955	1.76034	0.17297
3022.34386	0.42374	0.65734	1.3612	0.72695	3.21666	0.57517	2.69681	4.35151	1.76269	0.17523
3020.41512	0.4225	0.66334	1.36556	0.72403	3.22959	0.57842	2.70407	4.36669	1.77007	0.17256
3018.48637	0.42015	0.66217	1.37169	0.71963	3.22898	0.58238	2.69863	4.36812	1.77243	0.16846
3016.55763	0.41331	0.65598	1.37117	0.7175	3.2088	0.57898	2.68026	4.34451	1.76584	0.16893
3014.62888	0.40746	0.65196	1.36757	0.71998	3.19517	0.57249	2.67014	4.32891	1.7619	0.17194
3012.70013	0.40924	0.65417	1.36689	0.72352	3.20301	0.57269	2.67875	4.34032	1.7663	0.17565
3010.77139	0.41602	0.66113	1.37095	0.72577	3.21829	0.58049	2.69442	4.3619	1.77386	0.17997
3008.84264	0.41918	0.66526	1.37531	0.7244	3.22139	0.58603	2.69857	4.36728	1.77887	0.18014
3006.9139	0.41538	0.6599	1.37399	0.71894	3.21045	0.58183	2.68383	4.34657	1.77591	0.17449
3004.98515	0.41269	0.65075	1.37122	0.71581	3.20525	0.57435	2.66921	4.32503	1.76826	0.17005
3003.05641	0.4166	0.64863	1.37122	0.7168	3.2159	0.5765	2.67245	4.32678	1.76594	0.17153
3001.12766	0.42179	0.65426	1.37355	0.71832	3.23406	0.58887	2.68746	4.34802	1.77477	0.17583
2999.19892	0.42243	0.6573	1.37577	0.71816	3.24395	0.597	2.69735	4.36582	1.78691	0.17724
2997.27017	0.41879	0.65153	1.37161	0.71604	3.23315	0.59452	2.69153	4.35707	1.78795	0.17454
