Lambda	        A	     B	     C	    D	     E	      F	      G	     H	      I	      J
4389.82427	0.3844	0.82093	1.32508	0.84693	2.2247	0.47043	1.77871	3.12936	1.56766	0.24215
4387.89552	0.3839	0.82484	1.32579	0.84654	2.2188	0.46389	1.77682	3.12959	1.56674	0.23985
4385.96678	0.37795	0.8266	1.32334	0.84782	2.21087	0.45651	1.76861	3.12138	1.56145	0.23582
4384.03803	0.37088	0.82142	1.31679	0.84521	2.20273	0.45226	1.75585	3.1037	1.55063	0.2355
4382.10929	0.36973	0.81854	1.31763	0.84229	2.2074	0.45745	1.75273	3.10206	1.54725	0.23755
4380.18054	0.37467	0.82552	1.33331	0.8479	2.23206	0.4686	1.76715	3.13187	1.5599	0.23546
4378.2518	0.37975	0.83487	1.34615	0.85609	2.25114	0.47392	1.78151	3.16254	1.5748	0.23155
4376.32305	0.37913	0.83666	1.34389	0.85709	2.24891	0.47187	1.77866	3.16697	1.58022	0.23317
4374.39431	0.37592	0.83178	1.33941	0.85446	2.23983	0.47049	1.76596	3.15451	1.58041	0.23591
4372.46556	0.37818	0.82868	1.34012	0.8525	2.23543	0.47404	1.76093	3.14479	1.57872	0.2349
4370.53682	0.38335	0.83106	1.34009	0.84975	2.23551	0.47845	1.76538	3.14404	1.5741	0.23543
4368.60807	0.38442	0.83586	1.33661	0.84469	2.234	0.47626	1.7689	3.14416	1.56972	0.23804
4366.67932	0.38344	0.83912	1.3359	0.83989	2.234	0.47037	1.77321	3.14665	1.57179	0.23835
4364.75058	0.38243	0.83772	1.33826	0.83789	2.24167	0.46966	1.78191	3.15451	1.57642	0.23715
4362.82183	0.38101	0.83427	1.3382	0.83632	2.24801	0.47394	1.78732	3.15985	1.5771	0.23538
4360.89309	0.38256	0.83305	1.33673	0.83553	2.2445	0.47742	1.78495	3.15823	1.57725	0.23174
4358.96434	0.38846	0.83256	1.33613	0.83857	2.24059	0.47851	1.78198	3.15511	1.58096	0.2282
4357.0356	0.39456	0.83266	1.34146	0.84452	2.25044	0.4789	1.78869	3.16492	1.58926	0.22819
4355.10685	0.39555	0.83649	1.35219	0.85041	2.26546	0.4777	1.80077	3.18301	1.59642	0.23153
4353.17811	0.39201	0.84263	1.35526	0.85301	2.26397	0.47697	1.80403	3.18552	1.59339	0.23514
4351.24936	0.38854	0.84356	1.34951	0.85314	2.24793	0.48071	1.79817	3.17209	1.58438	0.23556
4349.32062	0.38728	0.83658	1.34598	0.85497	2.23688	0.48194	1.79358	3.16015	1.57886	0.23229
4347.39187	0.38674	0.82938	1.34514	0.85632	2.23478	0.47495	1.79208	3.15507	1.57695	0.22952
4345.46313	0.38438	0.82872	1.34334	0.85449	2.23447	0.46917	1.78917	3.15636	1.57675	0.23182
4343.53438	0.38306	0.83245	1.34453	0.85279	2.2387	0.46984	1.78583	3.16516	1.57878	0.23814
4341.60564	0.38629	0.83572	1.34906	0.85266	2.24588	0.47054	1.78651	3.17394	1.58089	0.24111
4339.67689	0.39044	0.83808	1.35165	0.85312	2.24838	0.47101	1.79281	3.17673	1.58219	0.23817
4337.74815	0.39153	0.84052	1.35165	0.85212	2.25179	0.4751	1.79839	3.17856	1.58309	0.23545
4335.8194	0.39148	0.84341	1.3531	0.85055	2.26115	0.47877	1.79742	3.18514	1.58296	0.23424
4333.89065	0.39273	0.8474	1.35773	0.85452	2.26732	0.47845	1.79501	3.19263	1.58484	0.23182
4331.96191	0.39396	0.85014	1.36199	0.86116	2.26491	0.47661	1.79503	3.1913	1.58916	0.23003
4330.03316	0.39419	0.84938	1.3651	0.86288	2.26697	0.4759	1.80031	3.19328	1.59381	0.2305
4328.10442	0.39441	0.84832	1.36727	0.86186	2.27762	0.47784	1.81107	3.20643	1.5987	0.23283
4326.17567	0.39507	0.85015	1.3639	0.85994	2.27802	0.48029	1.8138	3.20554	1.59985	0.23614
4324.24693	0.39621	0.85265	1.35749	0.85568	2.26674	0.47952	1.80515	3.18915	1.59677	0.23833
4322.31818	0.39736	0.85258	1.35404	0.85283	2.25929	0.47664	1.79572	3.17955	1.59394	0.23852
4320.38944	0.3966	0.85001	1.35353	0.85522	2.25662	0.47394	1.78961	3.17867	1.5908	0.23874
4318.46069	0.39448	0.8479	1.35693	0.86016	2.25799	0.47465	1.7907	3.18292	1.5884	0.23935
4316.53195	0.39387	0.84773	1.36269	0.86101	2.26318	0.48054	1.79761	3.18704	1.58951	0.23788
4314.6032	0.39508	0.84817	1.36472	0.85798	2.26658	0.48605	1.80415	3.1882	1.59259	0.23512
4312.67446	0.39856	0.84785	1.36094	0.85649	2.26838	0.48598	1.80887	3.19111	1.59448	0.23375
4310.74571	0.40244	0.84506	1.3531	0.85397	2.26728	0.48074	1.8057	3.18762	1.59024	0.23362
4308.81697	0.40003	0.84202	1.34713	0.8498	2.26223	0.47448	1.79395	3.17796	1.58154	0.23366
4306.88822	0.39229	0.84327	1.35008	0.85209	2.26369	0.47096	1.78809	3.18185	1.57966	0.23309
4304.95948	0.38926	0.84914	1.36067	0.8607	2.27742	0.46896	1.79742	3.19831	1.58718	0.23189
4303.03073	0.39263	0.85468	1.36729	0.86468	2.28828	0.46747	1.80824	3.20268	1.59164	0.2312
4301.10198	0.3956	0.85363	1.36543	0.86158	2.28673	0.46964	1.80741	3.19338	1.58957	0.23258
4299.17324	0.39611	0.85056	1.36858	0.86212	2.28919	0.47495	1.8094	3.19558	1.59473	0.23604
4297.24449	0.394	0.85228	1.37762	0.86776	2.29777	0.47894	1.82169	3.20605	1.60502	0.23952
4295.31575	0.39059	0.85548	1.37772	0.86761	2.29364	0.4812	1.8297	3.20291	1.60543	0.24095
4293.387	0.39017	0.85859	1.3714	0.86266	2.28087	0.4795	1.8292	3.19458	1.60097	0.23919
4291.45826	0.39182	0.86083	1.36708	0.86289	2.27813	0.4724	1.8278	3.19878	1.60201	0.23721
4289.52951	0.39276	0.85978	1.36396	0.86806	2.28684	0.46897	1.82909	3.21475	1.60727	0.23846
4287.60077	0.3943	0.85881	1.36534	0.87176	2.29637	0.47212	1.83245	3.23052	1.6132	0.23823
4285.67202	0.39629	0.86156	1.37439	0.87133	2.30253	0.47565	1.83844	3.23957	1.61714	0.23536
4283.74328	0.39648	0.86791	1.38568	0.87035	2.31003	0.48053	1.84692	3.24775	1.61982	0.23741
